Date,"Event Name","Event Region","Event Type",Division,"Match Type","Match Number","Red 1","Red 2","Red 3","Blue 1","Blue 2","Blue 3","Red 1; No Show (1) Disqualified (2)","Red 2; No Show (1) Disqualified (2)","Red 3; No Show (1) Disqualified (2)","Blue 1; No Show (1) Disqualified (2)","Blue 2; No Show (1) Disqualified (2)","Blue 3; No Show (1) Disqualified (2)","Red 1 Surrogate","Red 2 Surrogate","Red 3 Surrogate","Blue 1 Surrogate","Blue 2 Surrogate","Blue 3 Surrogate","Match Saved","Red Autonomous Period; Robot 1 Placement","Red Autonomous Period, Robot 2 Placement","Red Autonomous Period, Rescue Beacons","Red Autonomous Period, Climbers in Shelter","Red Driver Controlled; Robot 1 Placement","Red Driver Controlled; Robot 2 Placement","Red Driver Controlled; Floor Goal","Red Driver Controlled; High Goal","Red Driver Controlled; Low Goal","Red Driver Controlled; Mid Goal","Red Driver Controlled; Climbers in Shelter","Red Driver Controlled; Zip Line","Red End Game; All Clear Signal","Red End Game; Robot on Pull Up Bar","Red Minor Penalty Incurred","Red Major Penalty Incurred","Red Minor Penalty Awarded","Red Major Penalty Awarded","Blue Autonomous Period; Robot 1 Placement","Blue Autonomous Period, Robot 2 Placement","Blue Autonomous Period, Rescue Beacons","Blue Autonomous Period, Climbers in Shelter","Blue Driver Controlled; Robot 1 Placement","Blue Driver Controlled; Robot 2 Placement","Blue Driver Controlled; Floor Goal","Blue Driver Controlled; High Goal","Blue Driver Controlled; Low Goal","Blue Driver Controlled; Mid Goal","Blue Driver Controlled; Climbers in Shelter","Blue Driver Controlled; Zip Line","Blue End Game; All Clear Signal","Blue End Game; Robot on Pull Up Bar","Blue Minor Penalty Incurred","Blue Major Penalty Incurred","Blue Minor Penalty Awarded","Blue Major Penalty Awarded",
2015/11/07,"Flagstaff FTC Qualifying Tournament",Arizona,"Qualifying Tournament",1,1,1,8081,7613,0,6900,8640,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,24,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,30,0,0,0,1,1,0,0,1,0,1,0,
2015/11/07,"Flagstaff FTC Qualifying Tournament",Arizona,"Qualifying Tournament",1,1,2,7167,3928,0,7156,8995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,1,0,0,0,0,
2015/11/07,"Flagstaff FTC Qualifying Tournament",Arizona,"Qualifying Tournament",1,1,3,8570,7167,0,5661,3928,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
2015/11/07,"Flagstaff FTC Qualifying Tournament",Arizona,"Qualifying Tournament",1,1,4,7613,8995,0,8570,8081,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
2015/11/07,"Flagstaff FTC Qualifying Tournament",Arizona,"Qualifying Tournament",1,1,5,7156,6900,0,5661,8640,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,27,0,0,0,0,0,0,0,1,0,0,0,
2015/11/07,"Flagstaff FTC Qualifying Tournament",Arizona,"Qualifying Tournament",1,1,6,8995,6900,0,8640,3928,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,4,23,0,0,0,1,1,0,0,0,0,0,0,
2015/11/07,"Flagstaff FTC Qualifying Tournament",Arizona,"Qualifying Tournament",1,1,7,7613,8570,0,7156,7167,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,0,0,0,0,
2015/11/07,"Flagstaff FTC Qualifying Tournament",Arizona,"Qualifying Tournament",1,1,8,8081,8640,0,5661,7167,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,16,0,0,0,0,1,0,0,0,0,0,0,
2015/11/07,"Flagstaff FTC Qualifying Tournament",Arizona,"Qualifying Tournament",1,1,9,8995,5661,0,7613,3928,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,17,0,0,0,0,0,0,0,1,0,0,0,
2015/11/07,"Flagstaff FTC Qualifying Tournament",Arizona,"Qualifying Tournament",1,1,10,8570,7156,0,8081,6900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,
2015/11/07,"Flagstaff FTC Qualifying Tournament",Arizona,"Qualifying Tournament",1,1,11,3928,8081,0,8640,7613,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,7,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,4,34,0,0,0,0,1,0,0,1,0,0,0,
2015/11/07,"Flagstaff FTC Qualifying Tournament",Arizona,"Qualifying Tournament",1,1,12,6900,5661,0,7167,8995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,3,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,
2015/11/07,"Flagstaff FTC Qualifying Tournament",Arizona,"Qualifying Tournament",1,1,13,7156,8640,0,8570,8995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,14,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,4,5,13,0,0,0,0,2,0,0,0,0,0,0,
2015/11/07,"Flagstaff FTC Qualifying Tournament",Arizona,"Qualifying Tournament",1,3,11,8995,3928,0,5661,8081,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,
2015/11/07,"Flagstaff FTC Qualifying Tournament",Arizona,"Qualifying Tournament",1,3,21,7167,7156,0,8640,8570,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,33,0,0,0,2,1,0,0,0,0,0,0,
2015/11/07,"Flagstaff FTC Qualifying Tournament",Arizona,"Qualifying Tournament",1,3,12,8995,3928,0,5661,8081,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,5,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,
2015/11/07,"Flagstaff FTC Qualifying Tournament",Arizona,"Qualifying Tournament",1,3,22,7167,7156,0,8640,8570,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0,1,0,0,0,0,0,0,
2015/11/07,"Flagstaff FTC Qualifying Tournament",Arizona,"Qualifying Tournament",1,4,1,8995,3928,0,8640,8570,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,
2015/11/07,"Flagstaff FTC Qualifying Tournament",Arizona,"Qualifying Tournament",1,4,2,8995,3928,0,8640,8570,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,6,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,1,1,0,0,0,0,0,
2015/11/21,"“Fall Harvest V” Qualifier ","New Jersey","Qualifying Tournament",1,1,32,9971,9533,0,7149,7251,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,19,0,0,0,2,2,0,0,0,0,0,0,
2015/11/21,"“Fall Harvest V” Qualifier ","New Jersey","Qualifying Tournament",1,1,33,4856,365,0,9129,3006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,26,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0,
