Date,"Event Name","Event Region","Event Type",Division,"Match Type","Match Number","Red 1","Red 2","Red 3","Blue 1","Blue 2","Blue 3","Red 1; No Show (1) Disqualified (2)","Red 2; No Show (1) Disqualified (2)","Red 3; No Show (1) Disqualified (2)","Blue 1; No Show (1) Disqualified (2)","Blue 2; No Show (1) Disqualified (2)","Blue 3; No Show (1) Disqualified (2)","Red 1 Surrogate","Red 2 Surrogate","Red 3 Surrogate","Blue 1 Surrogate","Blue 2 Surrogate","Blue 3 Surrogate","Match Saved","Red Autonomous Period; Robot 1 Placement","Red Autonomous Period, Robot 2 Placement","Red Autonomous Period, Rescue Beacons","Red Autonomous Period, Climbers in Shelter","Red Driver Controlled; Robot 1 Placement","Red Driver Controlled; Robot 2 Placement","Red Driver Controlled; Floor Goal","Red Driver Controlled; High Goal","Red Driver Controlled; Low Goal","Red Driver Controlled; Mid Goal","Red Driver Controlled; Climbers in Shelter","Red Driver Controlled; Zip Line","Red End Game; All Clear Signal","Red End Game; Robot on Pull Up Bar","Red Minor Penalty Incurred","Red Major Penalty Incurred","Red Minor Penalty Awarded","Red Major Penalty Awarded","Blue Autonomous Period; Robot 1 Placement","Blue Autonomous Period, Robot 2 Placement","Blue Autonomous Period, Rescue Beacons","Blue Autonomous Period, Climbers in Shelter","Blue Driver Controlled; Robot 1 Placement","Blue Driver Controlled; Robot 2 Placement","Blue Driver Controlled; Floor Goal","Blue Driver Controlled; High Goal","Blue Driver Controlled; Low Goal","Blue Driver Controlled; Mid Goal","Blue Driver Controlled; Climbers in Shelter","Blue Driver Controlled; Zip Line","Blue End Game; All Clear Signal","Blue End Game; Robot on Pull Up Bar","Blue Minor Penalty Incurred","Blue Major Penalty Incurred","Blue Minor Penalty Awarded","Blue Major Penalty Awarded",
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,1,6133,5040,0,6022,8431,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,4,7,4,4,1,4,1,0,0,0,0,0,0,0,1,0,0,5,5,2,2,0,9,0,1,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,2,8393,10030,0,5029,10418,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,3,9,0,0,5,2,1,0,0,0,0,0,0,2,0,0,0,4,0,5,3,0,0,2,0,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,3,9789,10211,0,4537,6054,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,5,11,0,2,0,4,2,1,1,0,0,1,0,1,0,0,0,4,4,6,0,0,0,4,0,0,0,1,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,4,8120,6961,0,9197,5501,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,16,0,0,0,4,3,0,1,0,0,0,0,0,1,0,0,5,0,14,0,2,0,2,2,0,1,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,5,3537,5933,0,1001,9345,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,3,0,3,0,3,0,1,0,0,6,0,0,0,0,0,4,4,6,0,2,0,2,1,0,0,6,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,6,6987,6085,0,10464,6253,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,21,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,2,1,0,2,1,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,7,5256,4510,0,4969,5140,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,0,2,0,1,1,0,0,0,1,0,0,2,0,0,3,0,3,0,2,0,0,1,0,0,1,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,8,10237,7136,0,4277,9290,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,6,9,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,5,6,0,0,4,0,2,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,9,8120,10418,0,10211,3537,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,5,4,3,0,2,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,10,6133,10030,0,6961,4537,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,2,9,0,5,0,2,0,0,0,1,0,0,0,1,0,0,5,3,5,0,0,0,2,2,0,0,0,0,0,1,
